,temperature_f,temperature_f,temperature_f,humidity,humidity,humidity,pressure_hpa,pressure_hpa,pressure_hpa,dewpoint_f,dewpoint_f,dewpoint_f,battery_voltage,battery_voltage,battery_voltage
,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean
_time,,,,,,,,,,,,,,,
2026-08-25 00:00:00+00:00,104.0,104.4,104.2675,24.4,24.8,24.53166666666667,970.9,971.3,971.0808333333333,60.814055093454826,61.105359519547285,60.93833011760288,3.99,4.08,4.04525
2026-08-26 00:00:00+00:00,89.9,104.0,94.68315972222223,24.9,37.9,31.857013888888886,971.2,975.8,973.4447222222221,56.352250667971376,65.31674689333383,60.00954448372271,3.97,4.08,4.0458541666666665
2026-08-27 00:00:00+00:00,88.8,100.3,93.32569444444445,28.0,33.7,30.777152777777776,971.4,977.1,974.3910416666668,55.06123333052879,62.99703172786447,57.97144347633146,3.95,4.06,4.025295138888889
2026-08-28 00:00:00+00:00,88.2,105.5,95.00958333333332,16.4,30.3,26.101388888888888,973.1,978.0,975.7151736111111,46.919220168034194,59.42928719831461,54.543607255042915,3.93,4.04,4.012715277777778
2026-08-29 00:00:00+00:00,88.6,105.5,94.04499999999999,17.6,25.9,23.501145833333336,970.3,975.5,973.9361805555557,48.47472916666522,54.4656230520254,51.06040731272582,3.88,4.02,3.9774444444444446
2026-08-30 00:00:00+00:00,90.0,101.6,94.73965277777778,21.7,28.4,25.215416666666666,969.1,973.4,971.5486458333334,51.34617581532101,56.82605413822742,53.63969701265645,3.83,3.98,3.929715277777778
2026-08-31 00:00:00+00:00,88.3,104.4,93.89430555555555,20.0,36.1,25.82565972222222,969.1,974.5,972.0961805555555,49.683079236712416,58.503426647430274,53.40288007593842,3.75,3.93,3.8753819444444444
2026-09-01 00:00:00+00:00,87.3,104.2,94.23079861111111,19.2,28.3,22.505833333333335,970.8,975.3,973.2406944444446,45.94625937751346,55.737367461165476,50.09892617137293,3.14,3.87,3.669201388888889
2026-09-02 00:00:00+00:00,89.5,104.7,95.94034722222223,19.0,40.0,25.316770833333333,969.3,974.4,972.3748263888889,50.09882638658012,62.09174153877759,54.43175605672631,3.29,3.76,3.6677291666666667
2026-09-03 00:00:00+00:00,90.2,104.9,96.13392361111111,21.4,37.1,28.163090277777776,968.1,972.6,970.6086805555556,53.6053823604282,65.63243607461195,57.62712073570296,3.27,3.66,3.542732638888889
2026-09-04 00:00:00+00:00,88.8,103.7,95.30836805555555,28.0,39.3,30.454930555555556,968.4,971.9,970.3645833333334,54.88823095788916,64.72057551794967,59.31407940773132,3.23,3.6,3.4747916666666665
2026-09-05 00:00:00+00:00,89.2,101.9,95.42761126760563,24.7,33.9,28.576972087067865,968.6,972.8,970.9551216389244,53.13100166818723,62.78610089702049,57.66057439399919,3.24,3.53,3.4491787451984637
2026-09-06 00:00:00+00:00,88.9,100.8,93.11937499999999,24.4,34.3,27.768263888888892,968.2,973.5,970.9691319444445,51.54646677042255,60.74873025409134,54.93998550292285,3.03,3.48,3.339121527777778
2026-09-07 00:00:00+00:00,87.9,102.1,93.09583333333333,23.8,36.6,26.921805555555558,968.2,973.1,970.9219444444445,50.351711143717104,59.76306697193312,54.030716191810804,2.94,3.42,3.2637430555555556
2026-09-08 00:00:00+00:00,88.8,101.9,94.97003472222222,23.8,34.7,26.003645833333334,969.8,975.5,972.997951388889,50.39520503418373,60.080922724119745,54.66384748381472,2.83,3.35,3.186232638888889
2026-09-09 00:00:00+00:00,89.3,103.7,93.58836805555555,23.6,35.6,27.921944444444442,971.1,976.4,974.3990972222222,51.91292105231846,61.272511143921555,55.44439664539239,2.74,3.26,3.138982638888889
2026-09-10 00:00:00+00:00,88.0,104.3,93.52854166666667,22.0,48.9,30.579166666666666,971.1,976.1,973.0817361111111,52.10515262268653,68.1694404060384,57.03159960423241,2.53,3.18,2.97021875
2026-09-11 00:00:00+00:00,89.5,94.7,92.12287449392711,41.6,45.1,43.24655870445344,971.7,972.9,972.2876518218623,65.36480800802056,67.84437398623479,66.572534362733,2.6,2.91,2.806578947368421
