_time,battery_percent,battery_voltage,humidity,pressure_hpa,rssi,temperature_f,dewpoint_f,temp_change_1h,temp_change_3h,pressure_change_1h,pressure_change_3h,humidity_change_1h,humidity_change_3h,dewpoint_change_1h,dewpoint_change_3h
2026-08-25 23:00:00+00:00,85.6,4.06,24.4,971.0,-42.0,104.4,60.897720443533004,,,,,,,,
2026-08-25 23:01:00+00:00,85.5,4.05,24.5,971.0,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:02:00+00:00,83.9,4.04,24.5,971.0,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:03:00+00:00,87.1,4.07,24.5,971.0,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:04:00+00:00,85.0,4.05,24.5,971.0,-40.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:05:00+00:00,84.4,4.04,24.5,970.9,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:06:00+00:00,83.4,4.03,24.5,971.0,-42.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:07:00+00:00,86.4,4.06,24.5,971.0,-42.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:08:00+00:00,85.9,4.06,24.5,970.9,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:09:00+00:00,86.0,4.06,24.5,970.9,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:10:00+00:00,85.4,4.05,24.5,971.0,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:11:00+00:00,84.65,4.045,24.5,971.05,-41.5,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:12:00+00:00,83.9,4.04,24.5,971.1,-42.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:13:00+00:00,84.2,4.04,24.5,971.1,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:14:00+00:00,85.7,4.06,24.5,971.1,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:15:00+00:00,83.7,4.04,24.5,971.1,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:16:00+00:00,83.9,4.04,24.4,971.1,-43.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:17:00+00:00,83.8,4.04,24.4,971.1,-42.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:18:00+00:00,85.94999999999999,4.0600000000000005,24.4,971.05,-41.5,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:19:00+00:00,88.1,4.08,24.4,971.0,-41.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:20:00+00:00,86.1,4.06,24.4,971.0,-40.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:21:00+00:00,84.5,4.05,24.4,971.0,-41.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:22:00+00:00,84.3,4.04,24.4,971.0,-40.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:23:00+00:00,83.7,4.04,24.4,971.0,-41.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:24:00+00:00,83.5,4.04,24.4,971.0,-40.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:25:00+00:00,83.9,4.04,24.4,971.0,-41.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:26:00+00:00,87.8,4.08,24.4,971.1,-41.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:27:00+00:00,87.8,4.08,24.4,971.0,-41.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:28:00+00:00,83.8,4.04,24.4,971.1,-41.0,104.3,60.814055093454826,,,,,,,,
2026-08-25 23:29:00+00:00,85.8,4.06,24.5,971.1,-41.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:30:00+00:00,83.9,4.04,24.5,971.1,-44.0,104.3,60.92941493250125,,,,,,,,
2026-08-25 23:31:00+00:00,82.35,4.025,24.45,971.1,-43.0,104.3,60.871735012978036,,,,,,,,
