_time,battery_percent,battery_voltage,humidity,pressure_hpa,rssi,temperature_f
2026-08-25 23:00:27.002903808+00:00,85.6,4.06,24.4,971.0,-42.0,104.4
2026-08-25 23:01:29.060643564+00:00,85.5,4.05,24.5,971.0,-41.0,104.3
2026-08-25 23:02:31.064761007+00:00,83.9,4.04,24.5,971.0,-41.0,104.3
2026-08-25 23:03:33.111652456+00:00,87.1,4.07,24.5,971.0,-41.0,104.3
2026-08-25 23:04:35.132760341+00:00,85.0,4.05,24.5,971.0,-40.0,104.3
2026-08-25 23:05:36.703623410+00:00,84.4,4.04,24.5,970.9,-41.0,104.3
2026-08-25 23:06:38.238589996+00:00,83.4,4.03,24.5,971.0,-42.0,104.3
2026-08-25 23:07:40.444155451+00:00,86.4,4.06,24.5,971.0,-42.0,104.3
2026-08-25 23:08:42.997246378+00:00,85.9,4.06,24.5,970.9,-41.0,104.3
2026-08-25 23:09:44.564316305+00:00,86.0,4.06,24.5,970.9,-41.0,104.3
2026-08-25 23:10:46.646295684+00:00,85.4,4.05,24.5,971.0,-41.0,104.3
2026-08-25 23:12:49.738233858+00:00,83.9,4.04,24.5,971.1,-42.0,104.3
2026-08-25 23:13:51.756861529+00:00,84.2,4.04,24.5,971.1,-41.0,104.3
2026-08-25 23:14:53.311902779+00:00,85.7,4.06,24.5,971.1,-41.0,104.3
2026-08-25 23:15:54.918464341+00:00,83.7,4.04,24.5,971.1,-41.0,104.3
2026-08-25 23:16:56.948940614+00:00,83.9,4.04,24.4,971.1,-43.0,104.3
2026-08-25 23:17:58.999292597+00:00,83.8,4.04,24.4,971.1,-42.0,104.3
2026-08-25 23:19:00.546306546+00:00,88.1,4.08,24.4,971.0,-41.0,104.3
2026-08-25 23:20:02.549824150+00:00,86.1,4.06,24.4,971.0,-40.0,104.3
2026-08-25 23:21:04.108474842+00:00,84.5,4.05,24.4,971.0,-41.0,104.3
2026-08-25 23:22:05.676746652+00:00,84.3,4.04,24.4,971.0,-40.0,104.3
2026-08-25 23:23:07.744831483+00:00,83.7,4.04,24.4,971.0,-41.0,104.3
2026-08-25 23:24:09.346481080+00:00,83.5,4.04,24.4,971.0,-40.0,104.3
2026-08-25 23:25:10.933924872+00:00,83.9,4.04,24.4,971.0,-41.0,104.3
2026-08-25 23:26:13.138872307+00:00,87.8,4.08,24.4,971.1,-41.0,104.3
2026-08-25 23:27:15.149504901+00:00,87.8,4.08,24.4,971.0,-41.0,104.3
2026-08-25 23:28:17.197574148+00:00,83.8,4.04,24.4,971.1,-41.0,104.3
2026-08-25 23:29:18.799018747+00:00,85.8,4.06,24.5,971.1,-41.0,104.3
2026-08-25 23:30:20.389310309+00:00,83.9,4.04,24.5,971.1,-44.0,104.3
2026-08-25 23:32:33.472245835+00:00,80.8,4.01,24.4,971.1,-42.0,104.3
2026-08-25 23:33:35.030170501+00:00,84.8,4.05,24.5,971.1,-41.0,104.3
2026-08-25 23:34:37.089849425+00:00,83.6,4.04,24.5,971.1,-40.0,104.3
2026-08-25 23:35:39.189095512+00:00,83.6,4.04,24.5,971.1,-43.0,104.3
2026-08-25 23:36:41.289028513+00:00,84.1,4.04,24.5,971.1,-43.0,104.3
2026-08-25 23:37:43.318834853+00:00,83.9,4.04,24.5,971.1,-43.0,104.3
2026-08-25 23:38:45.325475859+00:00,83.8,4.04,24.5,971.1,-42.0,104.3
2026-08-25 23:39:46.839410570+00:00,83.7,4.04,24.6,971.1,-40.0,104.3
2026-08-25 23:40:48.342853576+00:00,84.0,4.04,24.5,971.1,-40.0,104.3
2026-08-25 23:41:50.444357189+00:00,84.9,4.05,24.5,971.1,-40.0,104.3
2026-08-25 23:42:51.992767726+00:00,84.9,4.05,24.6,971.0,-40.0,104.3
2026-08-25 23:43:54.024129063+00:00,85.9,4.06,24.6,971.1,-40.0,104.3
2026-08-25 23:44:56.083727410+00:00,82.9,4.03,24.6,971.1,-40.0,104.3
2026-08-25 23:45:57.635600047+00:00,85.7,4.06,24.6,971.1,-40.0,104.3
2026-08-25 23:46:59.205790520+00:00,85.5,4.05,24.6,971.1,-41.0,104.3
2026-08-25 23:48:00.832025632+00:00,78.0,3.99,24.6,971.1,-40.0,104.2
