#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:00:27.002903808Z,85.6,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:01:29.060643564Z,85.5,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:02:31.064761007Z,83.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:03:33.111652456Z,87.1,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:04:35.132760341Z,85,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:05:36.70362341Z,84.4,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:06:38.238589996Z,83.4,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:07:40.444155451Z,86.4,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:08:42.997246378Z,85.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:09:44.564316305Z,86,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:10:46.646295684Z,85.4,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:12:49.738233858Z,83.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:13:51.756861529Z,84.2,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:14:53.311902779Z,85.7,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:15:54.918464341Z,83.7,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:16:56.948940614Z,83.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:17:58.999292597Z,83.8,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:19:00.546306546Z,88.1,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:20:02.54982415Z,86.1,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:21:04.108474842Z,84.5,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:22:05.676746652Z,84.3,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:23:07.744831483Z,83.7,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:24:09.34648108Z,83.5,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:25:10.933924872Z,83.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:26:13.138872307Z,87.8,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:27:15.149504901Z,87.8,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:28:17.197574148Z,83.8,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:29:18.799018747Z,85.8,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:30:20.389310309Z,83.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:32:33.472245835Z,80.8,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:33:35.030170501Z,84.8,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:34:37.089849425Z,83.6,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:35:39.189095512Z,83.6,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:36:41.289028513Z,84.1,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:37:43.318834853Z,83.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:38:45.325475859Z,83.8,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:39:46.83941057Z,83.7,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:40:48.342853576Z,84,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:41:50.444357189Z,84.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:42:51.992767726Z,84.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:43:54.024129063Z,85.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:44:56.08372741Z,82.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:45:57.635600047Z,85.7,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:46:59.20579052Z,85.5,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:48:00.832025632Z,78,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:49:02.400255133Z,84,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:50:03.998390349Z,85,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:51:05.555442989Z,85.4,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:52:07.102239318Z,83.6,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:53:08.593432956Z,83.4,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:54:10.092111031Z,86.2,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:56:23.212557809Z,85.1,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:57:24.759001369Z,83.2,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:58:26.685005473Z,80.9,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-25T23:59:28.717468942Z,84.2,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-26T00:00:30.911578624Z,87.5,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-26T00:01:32.955097632Z,83,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-26T00:02:34.458450182Z,83.4,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-26T00:03:36.455448742Z,82.8,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-26T00:04:39.430257656Z,83.7,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-26T00:05:41.026436282Z,83.3,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-26T00:06:43.127537418Z,83.5,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-26T00:07:44.674368618Z,82.1,battery_percent,weather,esp32-garage
,,0,2026-08-25T23:00:00Z,2026-09-11T04:31:00Z,2026-08-26T00:08:46.800681461Z,87.8,battery_percent,weather,esp32-garage
